"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T3","Astrocytes","8","brown",559,TRUE,0.012070568347142,96,495,13,0.0262626262626263,0.135416666666667,"GO:0009201","GO:BP","ribonucleoside triphosphate biosynthetic process",16178,3404,"GO:0009142, GO:0009199"
"T3","Astrocytes","8","brown",559,TRUE,0.0122129585156665,22,511,6,0.0117416829745597,0.272727272727273,"GO:0005868","GO:CC","cytoplasmic dynein complex",16860,406,"GO:0030286"
"T3","Astrocytes","8","brown",559,TRUE,0.0125158252817384,45,495,9,0.0181818181818182,0.2,"GO:0051452","GO:BP","intracellular pH reduction",16178,14168,"GO:0051453"
"T3","Astrocytes","8","brown",559,TRUE,0.0127029306167541,136,385,16,0.0415584415584416,0.117647058823529,"REAC:R-HSA-5663220","REAC","RHO GTPases Activate Formins",10842,1797,"REAC:R-HSA-195258"
"T3","Astrocytes","8","brown",559,TRUE,0.0127058853041828,18,385,6,0.0155844155844156,0.333333333333333,"REAC:R-HSA-1660514","REAC","Synthesis of PIPs at the Golgi membrane",10842,2321,"REAC:R-HSA-1483255"
"T3","Astrocytes","8","brown",559,TRUE,0.012774758161969,1587,511,76,0.148727984344423,0.0478890989287965,"GO:0120025","GO:CC","plasma membrane bounded cell projection",16860,3443,"GO:0042995"
"T3","Astrocytes","8","brown",559,TRUE,0.0145875965159389,669,495,42,0.0848484848484849,0.062780269058296,"GO:0051603","GO:BP","proteolysis involved in protein catabolic process",16178,14275,"GO:0006508, GO:0030163"
"T3","Astrocytes","8","brown",559,TRUE,0.0148267017258368,123,385,15,0.038961038961039,0.121951219512195,"REAC:R-HSA-2500257","REAC","Resolution of Sister Chromatid Cohesion",10842,2012,"REAC:R-HSA-68877"
"T3","Astrocytes","8","brown",559,TRUE,0.0154403956763591,4010,495,165,0.333333333333333,0.0411471321695761,"GO:0019538","GO:BP","protein metabolic process",16178,6075,"GO:0043170, GO:0044238, GO:1901564"
"T3","Astrocytes","8","brown",559,TRUE,0.015736689746702,178,495,18,0.0363636363636364,0.101123595505618,"GO:0051650","GO:BP","establishment of vesicle localization",16178,14318,"GO:0051648, GO:0051649, GO:0051656"
"T3","Astrocytes","8","brown",559,TRUE,0.0162693605295396,534,521,34,0.0652591170825336,0.0636704119850187,"GO:0050839","GO:MF","cell adhesion molecule binding",17314,7918,"GO:0005515"
"T3","Astrocytes","8","brown",559,TRUE,0.0165007694884279,27,385,7,0.0181818181818182,0.259259259259259,"REAC:R-HSA-5205647","REAC","Mitophagy",10842,1431,"REAC:R-HSA-9663891"
"T3","Astrocytes","8","brown",559,TRUE,0.0167211992403682,908,495,52,0.105050505050505,0.0572687224669604,"GO:1901135","GO:BP","carbohydrate derivative metabolic process",16178,21749,"GO:0071704"
"T3","Astrocytes","8","brown",559,TRUE,0.0170189670129144,99,495,13,0.0262626262626263,0.131313131313131,"GO:0022904","GO:BP","respiratory electron transport chain",16178,6868,"GO:0022900, GO:0045333"
"T3","Astrocytes","8","brown",559,TRUE,0.01787606427859,2075,495,97,0.195959595959596,0.0467469879518072,"GO:0006793","GO:BP","phosphorus metabolic process",16178,2507,"GO:0044237"
"T3","Astrocytes","8","brown",559,TRUE,0.0180868023554297,12,385,5,0.012987012987013,0.416666666666667,"REAC:R-HSA-9755779","REAC","SARS-CoV-2 targets host intracellular signalling and regulatory pathways",10842,2060,"REAC:R-HSA-9705683"
"T3","Astrocytes","8","brown",559,TRUE,0.0186232424819592,18,495,6,0.0121212121212121,0.333333333333333,"GO:0006613","GO:BP","cotranslational protein targeting to membrane",16178,2355,"GO:0006612"
"T3","Astrocytes","8","brown",559,TRUE,0.018720110379528,165,293,16,0.0546075085324232,0.096969696969697,"KEGG:04140","KEGG","Autophagy - animal",8484,277,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,0.0212377009246853,101,495,13,0.0262626262626263,0.128712871287129,"GO:0009142","GO:BP","nucleoside triphosphate biosynthetic process",16178,3346,"GO:0009141, GO:1901293"
"T3","Astrocytes","8","brown",559,TRUE,0.0218941447086219,202,293,18,0.0614334470989761,0.0891089108910891,"KEGG:05415","KEGG","Diabetic cardiomyopathy",8484,492,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,0.0229908212664355,502,495,34,0.0686868686868687,0.0677290836653386,"GO:0072657","GO:BP","protein localization to membrane",16178,17996,"GO:0008104, GO:0051668"
"T3","Astrocytes","8","brown",559,TRUE,0.024745302751077,86,521,11,0.0211132437619962,0.127906976744186,"GO:0042626","GO:MF","ATPase-coupled transmembrane transporter activity",17314,5632,"GO:0015399, GO:0140657"
"T3","Astrocytes","8","brown",559,TRUE,0.0248189913955267,155,511,15,0.0293542074363992,0.0967741935483871,"GO:0055037","GO:CC","recycling endosome",16860,2254,"GO:0005768"
